id,hip,label,proper,aliases,RA_deg,DEC_deg,distance_pc,distance_ly,spect,mag
12748,12781,HIP 12781,,HIP 12781 | Gl 109,41.06439,25.523357,7.5098,24.49366329,M3.5Ve,10.55
62752,62951,HIP 62951,,HIP 62951,193.494465,-18.034764,7.5284,24.5543283,A2,8.51
117987,,HYG 117987,,GJ 2005,6.175485,-27.147825,7.5301,24.55987296,M5.5,15.42
7966,7981,107    Psc,,HIP 7981 | HD 10476 | HR 493 | Gl 68 | 107    Psc,25.62405,20.268504,7.5324,24.56737454,K1V,5.24
119199,,HYG 119199,,GJ 1224,271.887045,-15.965789,7.5358,24.57846385,m,13.63
118043,,HYG 118043,,Gl 53B,17.030925,54.920396,7.5529,24.63423652,,11
5325,5336,30Mu  Cas,,HIP 5336 | HD 6582 | HR 321 | Gl 53A | 30Mu  Cas,17.062155,54.92034,7.554,24.63782424,G5Vp,5.17
118405,,HYG 118405,,GJ 3378,90.291945,59.600972,7.5643,24.67141831,m,11.71
112923,113283,HIP 113283,,HIP 113283 | HD 216803 | HR 8721 | Gl 879,344.100075,-31.565567,7.6092,24.81786235,K4Vp,6.48
118187,,HYG 118187,,GJ 3193B,45.459585,-16.589769,7.6336,24.89744442,M3,11.8
119616,,HYG 119616,,GJ 3192,45.45984,-16.590778,7.6336,24.89744442,M3,10.96
65653,65859,HIP 65859,,HIP 65859 | Gl 514,202.49907,10.377162,7.6558,24.96985105,M1V,9.05
90979,91262,Vega,Vega,HIP 91262 | HD 172167 | HR 7001 | Gl 721 | 3Alp Lyr,279.2346,38.783692,7.6787,25.04454077,A0Vvar,0.03
85036,85295,HIP 85295,,HIP 85295 | HD 157881 | Gl 673,261.438465,2.111422,7.7006,25.11596894,K7V,7.54
113008,113368,Fomalhaut,Fomalhaut,HIP 113368 | HD 216956 | HR 8728 | Gl 881 | 24Alp PsA,344.41257,-29.622236,7.7036,25.12575362,A3V,1.17
118451,,HYG 118451,,GJ 3417,104.483655,62.325443,7.7519,25.28328696,m,13.65
118455,,HYG 118455,,GJ 1093,104.86776,19.349633,7.758,25.30318248,m,14.83
88300,88574,HIP 88574,,HIP 88574 | HD 165222 | Gl 701,271.28157,-3.031319,7.7586,25.30513942,M2V,9.37
61681,61874,HIP 61874,,HIP 61874 | Gl 480.1,190.193595,-43.566376,7.7809,25.3778722,M4,12.24
119615,,HYG 119615,,Gl 915,0.540885,-43.165974,7.8003,25.44114647,DA5,13.05
7736,7751,p Eridani,p Eridani,HIP 7751 | HD 10360 | HR 486 | Gl 66B,24.947535,-56.1964,7.8223,25.51290079,K0V,5.76
49845,49986,HIP 49986,,HIP 49986 | Gl 382,153.07362,-3.745662,7.8691,25.6655418,M3,9.26
118894,,HYG 118894,,GJ 3789,202.94379,29.27375,7.9365,25.88537094,M4  e,11.95
118400,,HYG 118400,,GJ 1087,89.10558,5.364556,7.9936,26.07160602,DAP9,14.1
100854,101180,HIP 101180,,HIP 101180 | Gl 793,307.632,65.44956,7.9955,26.07780298,M3,10.54
33412,33499,HIP 33499,,HIP 33499 | Gl 257A,104.44524,-44.2912,8.0096,26.12379098,M4+...,10.81
119418,,HYG 119418,,Gl 831B,322.82856,-9.790445,8.0115,26.12998794,,14.9
118454,,HYG 118454,,Gl 257B,104.449305,-44.290792,8.0244,26.17206206,M3,11.7
119536,,HYG 119536,,GJ 1276,343.47219,-6.782264,8.0515,26.26045034,DZ9+,15.65
80105,80346,HIP 80346,,HIP 80346 | Gl 623,246.03744,48.352905,8.0567,26.27741045,M3,10.27
89660,89937,44Chi Dra,,HIP 89937 | HD 170153 | HR 6927 | Gl 713A | 44Chi Dra,275.26104,72.732843,8.0574,26.27969354,F7Vvar,3.55
119224,,HYG 119224,,GJ 4063,278.650635,40.121916,8.0645,26.30285062,M3  p,11.42
22396,22449,Tabit,Tabit,HIP 22449 | HD 30652 | HR 1543 | Gl 178 | 1Pi 3Ori,72.460035,6.961276,8.0684,26.3155707,F6V,3.19
86022,86287,HIP 86287,,HIP 86287 | Gl 686,264.472155,18.591709,8.086,26.37297416,M1,9.62
118621,,HYG 118621,,GJ 1123,139.207395,-77.838716,8.1301,26.51680896,m,13.1
119588,,HYG 119588,,GJ 1289,355.77318,36.537175,8.1301,26.51680896,k,12.57
118293,,HYG 118293,,GJ 2034,65.253165,-48.657863,8.1301,26.51680896,DA8,14.36
118861,,HYG 118861,,Gl 493.1,195.140715,5.685534,8.1433,26.55986155,dM5  e,13.4
118084,,p Eridani,p Eridani,HD 10361 | HR 487 | Gl 66A,24.945045,-56.19462,8.1466,26.5706247,K2 V,5.8
119261,,HYG 119261,,Gl 747B,286.924995,32.543654,8.1566,26.6032403,M5   K,12.16
119260,,HYG 119260,,Gl 747A,286.924995,32.543654,8.1566,26.6032403,M3.5 J,11.86
118902,,HYG 118902,,Gl 518,204.135135,3.679643,8.1833,26.69032395,DZ9,14.65
5485,5496,HIP 5496,,HIP 5496 | Gl 54,17.59389,-67.444956,8.194,26.72522264,K,9.8
118777,,HYG 118777,,GJ 1151,177.755625,48.376728,8.2102,26.77805991,m,13.25
113216,113576,HIP 113576,,HIP 113576 | HD 217357 | Gl 884,345.06735,-22.524347,8.2176,26.80219546,K5/M0V,7.88
4847,4856,HIP 4856,,HIP 4856 | Gl 48,15.62505,71.679816,8.2366,26.8641651,M3.5e,9.98
119218,,HYG 119218,,GJ 1227,275.626185,62.048056,8.244,26.88830064,m,13.41
105913,106255,HIP 106255,,HIP 106255 | Gl 831A,322.827495,-9.790663,8.2974,27.06246794,M4e...,11.96
86705,86974,86Mu  Her,,HIP 86974 | HD 161797 | HR 6623 | Gl 695A | 86Mu  Her,266.614785,27.720676,8.3105,27.10519438,G5IV,3.42
118425,,HYG 118425,,Gl 232,96.172485,23.434998,8.3333,27.17955795,M4.5,13.06
79777,80018,HIP 80018,,HIP 80018 | Gl 618A,245.015115,-37.529011,8.3438,27.21380433,M4,10.56
62257,62452,Gar,Gar,HIP 62452 | Gl 486,191.985975,9.751397,8.3703,27.30023567,M4,11.39
119180,,HYG 119180,,Gl 695C,266.606115,27.715759,8.3998,27.39645169,M4   K,10.8
119179,,HYG 119179,,Gl 695B,266.606115,27.715759,8.3998,27.39645169,M3   J,10.35
118769,,HYG 118769,,Gl 438,175.82439,-51.839852,8.4034,27.4081933,K0,10.36
61124,61317,Chara,Chara,HIP 61317 | HD 109358 | HR 4785 | Gl 475 | 8Bet CVn,188.436165,41.35748,8.4395,27.52593562,G0V,4.24
